Statement,Label,Party_Affiliation,Subjects
Says that in the U.S. House of Representatives weve had bipartisan support for the repeal of Obamacare for getting rid of cap and trade for building the Keystone Pipeline.,TRUE,democrat,economy
"We will spend $100 billion in Afghanistan this year, fixing roads, building bridges, training police officers, and more, [and] cutting the same things in our own country.",FALSE,republican,economy
The war in Iraq was a major factor in blowing the top off the price of oil.,FALSE,republican,"iraq,terrorism"
This type of mass violence does not happen in other advanced countries. It doesnt happen in other places with this kind of frequency.,FALSE,democrat,guns
Says Mitt Romney did not pay taxes for 10 years.,FALSE,democrat,elections
"A ""massive"" federal computer network will make your medical records available to ""millions of people"" with a ""complete lack of privacy and confidentiality,"" while doctors and hospitals who don't take part face ""stiff penalties.""",FALSE,republican,"economy,jobs"
Wrong precinct rules exacerbate our provisional ballot problems (and) HB 194 does nothing to solve the wrong-precinct problem.,TRUE,democrat,"economy,jobs"
Says Donald Trump used undocumented labor to build the Trump Tower.,TRUE,democrat,campaign-finance
Says Gov. Scott Walker has been rated Americas most factually-challenged politician.,FALSE,republican,elections
Sharron Angle would eliminate the Department of Education.,TRUE,republican,"gays-and-lesbians,marriage"
An illegal immigrant who gains admission at a public college takes class space away from students who are legal residents.,TRUE,republican,"health-care,state-budget"
On whether BPs $20 billion fund to compensate oil spill victims is a slush fund.,FALSE,none,"energy,taxes"
On in-state tuition for illegal immigrants.,FALSE,democrat,"deficit,economy,social-security"
Says Jacky Rosen has refused to tell us whether she supports Bernie Sanders or Hillary Clinton.,FALSE,republican,"bipartisanship,climate-change,congress,congressional-rules,voting-record"
The five economic indicators that the federal government tracks - for the first time since August 2006 - were positive this October.,TRUE,democrat,"afghanistan,deficit,federal-budget,infrastructure,military"
Medicare has at least $80 billion worth of fraud a year. That's a full 20 percent of every dollar that's spent on Medicare goes to fraud.,TRUE,democrat,energy
"In slashing $1.7 billion from Social Security, Rep. Jim Renacci may end up forcing the entire agency to ... shut down for a month, causing seniors to not get their benefits on time, halting claims processing, and forcing new retirees and disabled workers into a backlog.",FALSE,democrat,"corrections-and-updates,crime,criminal-justice,guns"
"Says Sen. Bill Nelson voted to spend $144,541 to see how monkeys react under the influence of cocaine.",FALSE,democrat,"candidates-biography,taxes"
What were the old annual deficits under Republicans have now become the monthly deficits under Democrats.,FALSE,none,"health-care,privacy,technology"
Says(President) Reagans second inaugural was moved inside the Capitol. It was. Because of a terrible snowstorm.,TRUE,democrat,elections
"Says a poll shows that without a name attached, Democrats are just one point behind Gov. John Kasich.",TRUE,democrat,"candidates-biography,immigration"
There were more people at the Air and Space Museum than at a rally against the health care bills.,TRUE,democrat,"candidates-biography,job-accomplishments,polls"
People for the Ethical Treatment of Animals estimates 200 animals will be spared annually as the result of former President Bill Clinton adopting a vegan diet.,TRUE,democrat,"education,legal-issues,message-machine,states"
Says Texas did not bail out a loan program he oversaw as state agriculture commissioner.,FALSE,republican,"education,immigration"
We spend almost twice as much per capita on health care as do the people of any other country.,FALSE,republican,"energy,environment,oil-spill"
On repealing the 17th Amendment,FALSE,republican,"education,immigration"
"Says Bruce Starr voted to throw 6,000 Oregonians off unemployment.",TRUE,republican,elections
We need to pass a carbon tax to stop climate change. Break up the Wall Street banks. And stop the government spying on innocent Americans. Cory Booker doesnt support any of these ideas.,TRUE,democrat,economy
"Says while serving in the city council, Rachel Zenzinger voted to use tax dollars to take a taxpayer-funded junket to China.",FALSE,republican,"health-care,medicare"
"The governor is trying to take credit for recent actions taken by these companies. The problem is that for all three companies, the decision to move or stay in New Jersey happened before Chris Christie became governor.",TRUE,democrat,"federal-budget,social-security"
My property taxes went down largely because my technical college portion went down 35.5% because of the money we put in at state.,TRUE,republican,"drugs,federal-budget,message-machine-2012,stimulus,10-news-tampa-bay"
"Says more than 1 million Texans are jobless, the state has its highest unemployment rate in more than 20 years and joblessness doubled on Rick Perrys watch.",TRUE,republican,"federal-budget,stimulus"
"He has asked for $932-million of earmark pork-barrel spending, nearly a million dollars for every day that hes been in the United States Senate.",TRUE,journalist,"history,weather"
"Canada ""does spills into their water to practice in the event that this would happen. That is not allowed in the United States.""",TRUE,democrat,"elections,polls"
"Lots of studies seem to indicate that minors find it very easy to get marijuana, easier than to get alcohol.",FALSE,democrat,"health-care,pundits"
"The geography of poverty has changed fundamentally in the last 15 years, with more of it concentrated in fragile and conflict states.",TRUE,none,animals
"Russia has tremendous numbers of nuclear warheads 1,800, by the way where they expanded, and we didnt.",TRUE,republican,"agriculture,candidates-biography"
"For every dollar we invest in Head Start, we get $5 to $7 back into our economy.",TRUE,independent,health-care
Says President Obamas decision to not issue a permit for the Keystone XL pipeline meant we were denied the ability immediately to reduce prices at the pump.,FALSE,republican,"debates,elections,states"
Says she is the subject of 60 books.,TRUE,democrat,workers
Seven out of the 10 states with the lowest unemployment rates (have) Republican governors That approach that Republicans are using is working.,TRUE,democrat,"environment,financial-regulation,government-regulation,privacy"
"In writing his book, Gov. Perry pointed out that by any measure Social Security has been a failure.",TRUE,none,ethics
The stimulus created zero jobs.,FALSE,democrat,corporations
The health care law reduces the number of uninsured in America by 3 percent for how much money? $2 trillion.,FALSE,republican,taxes
We import more oil today than ever before.,FALSE,republican,jobs
"Will Hurd tends to have a 96 percent straight Republican, straight party voting record.",TRUE,republican,federal-budget
Says Chris Christie vetoed Planned Parenthood funding five times over the course of his governorship.,TRUE,democrat,"energy,environment,oil-spill"
Greece is not a big economy. Its about the size of metropolitan Miami.,TRUE,democrat,"Alcohol,children,drugs,marijuana"
Ive cut the budget of the (lieutenant governors) office by more than half.,TRUE,none,foreign-policy
Forty cents of every dollar being spent by the federal government is being borrowed from my children.,TRUE,republican,"foreign-policy,homeland-security,nuclear"
Cigarette butts poison babies and small children because of the nicotine in them.,TRUE,democrat,"children,federal-budget"
"One of the things I would immediately do is bring back the warrior class -- Petraeus, McChrystal, Mattis, Keane, Flynn. ... Every one was retired early because they told President Obama things that he didnt want to hear.",FALSE,republican,"climate-change,economy,energy,gas-prices"
"Says under his budget-repair bill, collective bargaining is fully intact.",FALSE,democrat,candidates-biography
"Since I took office, over 319,000 new private sector jobs have been created in Georgia with nearly 93,000 of those coming in the past 12 months.",TRUE,republican,"economy,job-accomplishments,jobs"
And it's going to be difficult for us to do this as long as we're spending $275 million a day on a war that should have never been authorized...,TRUE,republican,social-security
"Today in Selma, Ala., the poverty rate is roughly nine times that of whites.",TRUE,republican,"jobs,stimulus"
Says President Obama was proposing pinprick strikes for military intervention in Syria.,FALSE,republican,"federal-budget,health-care"
Says there are no political prisoners in Cuba.,FALSE,democrat,energy
Says Illinois Democrat David Gill would end Medicare.,FALSE,democrat,"bipartisanship,congress,redistricting,voting-record"
"First, he said he would leave residual forces in Iraq, and now he says he wouldn't.",TRUE,democrat,"abortion,women"
Says last year the graduation rate for our combined six-district footprint jumped 5.5 percent.,TRUE,none,"economy,foreign-policy"
"President Obama's own director of national intelligence, Admiral Blair, put it this way: 'High-value information came from interrogations in which those methods were used and provided a deeper understanding of the al-Qaida organization that was attacking this country.'",TRUE,republican,state-budget
"When he (Donald Trump) asked Florida to have casino gambling, we said no.",TRUE,republican,federal-budget
Milwaukee police use deadly force at a rate that is among the lowest in the country.,TRUE,organization,"children,environment,public-health"
"When Sen. Edwards ran in 2004, he wasn't for universal health care. I'm glad he is now.",TRUE,republican,military
Says Barbara Buono voted to raise her own pay 40 percent.,TRUE,republican,"labor,state-budget"
Says Texas has the most uninsured people of any state -- 6 million.,FALSE,republican,"economy,jobs"
Ill be running against a career politician.,TRUE,democrat,iraq
Says Multnomah County libraries are open 44 hours per week the lowest of any library in the four-county region.,TRUE,democrat,"diversity,history,income,poverty"
Says Mike Huckabee appeared in diabetes infomercials to endorse cures and treatments that no health agency supports.,TRUE,republican,"candidates-biography,foreign-policy,military"
"Says EPA regulation of greenhouse gases will endanger 575 Texas dairy facilities, 58 swine operations, 1,300 corn farms and 28,000 beef cattle operations.",FALSE,none,human-rights
Facebook has unveiled new rules to stop their users from creatingposts related in any way to religion.,FALSE,republican,"health-care,medicare,message-machine-2012"
"The Democrats are very sly. (in New Hampshire) we have same day voter registration, and to be honest, when Massachusetts elections are not very close, theyre busing them in all over the place.",FALSE,democrat,iraq
California has added twice as many jobs as Florida over the past year.,TRUE,democrat,education
"In the past two years in Congress, Ive written more bills, passed more amendments on the floor of the House and enacted more of my bills into law than any other member of the House.",TRUE,republican,military
"Says Travis County Commissioner Gerald Daugherty claims to have taken a pay cut, but for 2016, he voted to raise his salary by 19.6 percent.",FALSE,republican,"campaign-finance,gambling"
"The Employment Non-Discrimination Act discriminates against Christian daycare, Christian parents, Christian business owners, and the rights of religious freedom.",FALSE,none,"crime,criminal-justice,guns"
"Now, I also support the Bush tax cuts. Sen. McCain voted against them originally. He now believes they should be made permanent. I'm glad he agrees they should be made permanent.",TRUE,democrat,health-care
Irans defense budget is $30 billion. Our defense budget is closer to $600 billion.,TRUE,republican,state-finances
Brookhaven homeowners pay hundreds of dollars less in property taxes compared with owners of the same-value homes in unincorporated DeKalb County.,TRUE,democrat,health-care
The mosquito population in South Florida is larger than it is in many other communities in the country.,TRUE,republican,candidates-biography
Says health insurance premiums will rise under Obamacare.,TRUE,none,taxes
"Says Erv Nelson voted yes on the pro-amnesty SJR 21, a bill urgingCongress to provide citizenship for those residing illegally in our country.",TRUE,columnist,"candidates-biography,health-care,science"
Virginia is the number one state per capita in screening out people with mental illness from gun purchases.,TRUE,republican,"energy,environment"
Missouri is the state with the lowest paid workers.,TRUE,none,"religion,technology"
"The average student loan debt in Texas is over $22,000...the cost of an average size pickup truck. But unlike car owners, students are not allowed to refinance their loans at lower rates.",TRUE,republican,"elections,states"
Says Rick Scotts proposal for election reform only mandates 48 hours of early voting.,TRUE,democrat,"economy,jobs"
On whether the state should ramp up borrowing to build roads.,TRUE,democrat,congress
People think AIDS is done --its not done.,TRUE,republican,"candidates-biography,county-budget"
Electricity rates are 40 percent higher in states that have required utility companies to use a certain amount of renewable energy such as solar power.,TRUE,organization,"gays-and-lesbians,religion,workers"
"South Carolina has a labor shortage, specifically in the meatpacking industry.",TRUE,republican,taxes
"When the City and the Fairmount Park Conservancy invested $5 million in Hunting Park, crime went down 89 percent within a half mile radius of the park over the next three years.",TRUE,democrat,"foreign-policy,nuclear"
"On day one, six people were able to sign up for health insurance through the federal marketplace.",TRUE,none,taxes
Lets start with the premise that Rhode Island already has one of the 10 strictest [gun laws] amongst all the states.,TRUE,democrat,"environment,public-health"
"Says that in her speech to the pro-Israel group AIPAC, Hillary Clinton had one line on the Palestinian people.",FALSE,none,health-care
"Says in our region, 2011 was worst drought year ever recorded.",TRUE,republican,immigration
"In the 1980s, The lowest income people had the biggest gains.",FALSE,republican,guns
Florida has issued more than 3 million conceal carry permits in the past 30 years. Only 168 have been revoked.,TRUE,democrat,"economy,jobs,poverty,workers"
"For every one job created under the Obama administration, 75 people went on food stamps.",FALSE,democrat,"education,federal-budget,financial-regulation"
"Says that after she declared her candidacy for Congress, the redistricting process was manipulated to allow incumbent politicians to guarantee their re-election.",FALSE,democrat,elections
Says Chris Koster opposes right-to-work efforts because he has taken $8 million from union bosses.,TRUE,democrat,transportation
Says Bush Jr. handed Obama a $1.4 trillion deficit and Obama reduced Bush Jr.s deficit to just $492 billion.,TRUE,none,public-health
Says President Barack Obama made unilateral changes to Obamacare 38 times.,TRUE,none,energy
Broward Countys unemployment rate of 5.3 percent is the lowest in Florida.,FALSE,republican,"immigration,jobs"
Obamacare could force thousands of volunteer fire stations to cut service or close entirely!,TRUE,democrat,public-safety
The Wisconsin Retirement System for public employees is a self-funded pension plan and its the money of the workers that funds it.,FALSE,journalist,health-care
Ninety-five percent of the money used for union-operated worker training centers comes from employers.,FALSE,democrat,guns
"If we got solar energy from an area of the Southwestern desert 100 miles on a side, that would be enough, in and of itself, to provide 100 percent of all the electricity needs for the United States of America in a full year.",TRUE,independent,"foreign-policy,israel"
"I helped pass what, if enacted, would be the largest tax cut in Texas history through the State Senate.",FALSE,democrat,"environment,water,weather"
"Under Ryan plan,those 54 and younger would receive the same kind of healthcare options now enjoyed by members of Congress.",FALSE,none,"economy,history,income,pundits,taxes"
Says Bernie Sanders was there when it came to (same-sex) marriage 20 years ago. ... He was there when it wasnt popular.,TRUE,republican,guns
David Dewhurst is the first lieutenant governor in history to have a personal security detail.,TRUE,none,"economy,hunger,jobs,poverty"
The administration has issued rules for $1 abortions in ObamaCare and requires all persons enrolled in insurance plans that include elective abortion coverage to pay an abortion premium.,FALSE,democrat,"elections,redistricting"
Overwhelming Democrat and Republican votes in 2011 for legislation in two special sessions on jobs demonstrated the bipartisan nature of the Wisconsin Legislature.,FALSE,republican,"campaign-finance,workers"
Says Gov. Rick Perry has never held a private-sector job.,FALSE,organization,deficit
Says President Obama promised hed keep unemployment below 8 percent if the stimulus passed.,FALSE,republican,health-care
Says Indiana Gov. Mike Pence advocated diverting taxpayer dollars to so-called conversion therapy.,TRUE,democrat,"economy,jobs"
"Says Ted Cruz has pledged to eliminate the U.S. Department of Education, which would end federal aid to college students.",TRUE,none,"corrections-and-updates,health-care,public-safety"
We are in the bottom 10 in dollars in the classroom and the top 10 in dollars in the bureaucracy and red tape.,TRUE,none,"pensions,state-budget,state-finances,states"
"With 320,000 net Ohio manufacturing jobs lost, (Sen. Rob) Portman calls NAFTA a proven success.",FALSE,none,labor
Kathryn Starkey only attended half of those meetings.,TRUE,democrat,environment
Illegal immigration costs state taxpayers over $3 billion every year.,FALSE,republican,"state-budget,state-finances,taxes"
"Says a liberal immigration reform group endorsed his GOP primary opponent, Dave Brat.",FALSE,republican,"health-care,medicare"
Welders make more money than philosophers.,FALSE,none,"civil-rights,corrections-and-updates,gays-and-lesbians,marriage"
Teddy Roosevelt first called for (health care) reform nearly a century ago.,TRUE,republican,"candidates-biography,crime,homeland-security,public-safety,state-budget,state-finances"
Says Mike Dovilla supports a plan that could allow a foreign corporation to take over the Ohio Turnpike ,FALSE,none,"abortion,health-care"
"Charlie Crist broke the quarter ""record for fundraising in a U.S. Senate race in Florida.""",TRUE,republican,"bipartisanship,economy,jobs,voting-record"
The Murray-Ryan deal is the first divided-government budget agreement since 1986.,FALSE,democrat,candidates-biography
The American people spoke pretty loudly. They said stop all the looming tax hikes....,FALSE,republican,economy
"For the hour after the (Jan. 14) debate, Debra Medina was the No. 1 search on Google and for the remainder of that night No. 3.",FALSE,democrat,"civil-rights,gays-and-lesbians"
"Says state budget deal between Texas House and Senate leaders funds nursing homes, our public schools and universities and provides financial aid for college students.",TRUE,democrat,"education,federal-budget"
"When (John) Brennan ... was asked directly Is there any geographic limitation to your drone strike program? Brennan responded and said, no, there is no limitation.",TRUE,republican,"education,government-efficiency"
"Says Time magazine called him ""one of America's best governors.""",TRUE,democrat,trade
On supporting the Supreme Court abortion decision Roe v. Wade,TRUE,none,"candidates-biography,environment,taxes"
After four years of a celebrity president 85% (of recent college grads are) moving back in with their parents.,FALSE,republican,"immigration,state-finances"
Hispanic unemployment has been ticking down from an all-time high of 13.9 percent because of the policies weve implemented.,FALSE,republican,immigration
Says Rick Perry co-chaired Al Gores campaign for president.,TRUE,republican,"education,income,jobs"
I was totally against the war in Iraq.,FALSE,democrat,health-care
"There have been literally hundreds of new tax preferences and loopholes added to the code since 1986, last time we did this.",TRUE,democrat,"infrastructure,state-budget,transportation"
Says Suzanne Bonamici supports the $500 billion cut to Medicare passed last year.,FALSE,democrat,florida
Gas will reach $4 a gallon under a cap-and-trade plan.,FALSE,republican,"congress,federal-budget"
Were losing as many people to heroin and opioid overdoses as we lost to the AIDS epidemic at its peak.,FALSE,republican,taxes
Says Democratic Senate candidate Bruce Braley voted to cut $700 billion from Medicare to support Obamacare.,TRUE,republican,"elections,job-accomplishments,pop-culture"
Preventive care coverage under the Affordable Care Act has already helped Granite Staters save money and live healthier lives.,TRUE,republican,"education,health-care,state-budget"
Says 25 percent of U.S. Muslims agreed that violence against Americans here in the United States is justified as a part of the global jihad.,FALSE,republican,"civil-rights,terrorism"
"1928 was last time Republicans had the White House, the House and the Senate.",FALSE,republican,job-accomplishments
Hillary Clinton and Barack Obama want to raise taxes on all income brackets.,FALSE,republican,abortion
U.S. Sen. Saxby Chambliss votes more with Democrats than with conservatives.,FALSE,republican,"jobs,message-machine-2012"
"For the second quarter in a row, my campaign has raised more money than any other challenger in the nation and brought our fundraising total to over $800,000.",TRUE,democrat,"economy,jobs,stimulus"
Says the recall elections that aimed to remove him and other Republican officials from office cost tens of millions of dollars to run.,FALSE,republican,"candidates-biography,elections"
"In Wisconsin, only half of all the adults with serious psychological distress received mental health treatment or medication.",TRUE,republican,iraq
She stood by ground zero workers who sacrificed their health after so many sacrificed their lives and kept standing till this administration took action.,TRUE,republican,taxes
"On gift taking,Bob McDonnell took a fraction of what (Tim) Kaine took.",FALSE,republican,"health-care,medicare"
This is the first time since World War II that five nuclear-powered aircraft carriers were docked together.,FALSE,none,"cap-and-trade,climate-change,energy,environment"
"While Exxon Mobil has 40 pages on its media response strategy, its plan for resource protection is only five pages long and its plan for oil removal is just nine pages long.",TRUE,democrat,drugs
"By voting to approve [Question 1], we can . . . save 900 jobs at Twin River.",FALSE,republican,"federal-budget,health-care,medicare,message-machine-2014"
There hasnt been a Republican in the legislature or the City Council in Providence in over 30 years.,FALSE,democrat,health-care
Ive never voted for a Democrat when there was a Republican on the ballot.,TRUE,republican,"islam,polls,religion,terrorism"
"Says U.S. Senate rival Tommy Thompson wants to give a new $265,000 tax cut to millionaires like himself while raising taxes on the middle class.",TRUE,republican,history
The (economic stimulus) legislation could open billions of taxpayer dollars to left-wing groups like the Association of Community Organizations for Reform Now (ACORN).,FALSE,none,taxes
Exposure to the electromagnetic fields from power lines has been associated with childhood leukemia and other diseases.,FALSE,tea-party-member,"federal-budget,voting-record"
"At the 50 Milwaukee schools serving at least 80% African-American and at least 80% low income students, the reading proficiency is 8%.",TRUE,democrat,campaign-finance
Says Obama replaced the American flag on the tail of his plane with his campaign logo.,TRUE,republican,"elections,state-budget,state-finances"
Atlanta Mayor Kasim Reed held not one conversation with the public about the new Falcons stadium project,TRUE,republican,"health-care,public-health,state-budget"
I never said that Marco Rubio was Mark Zuckerbergs personal senator.,FALSE,democrat,health-care
The only two (Donald Trump tax returns) we have show that he hasnt paid a penny in taxes.,FALSE,republican,ethics
"In a budget deal struck in 2011 a trillion dollars of cuts went into effect immediately, and then a special committee was set up ... to get agreement on another $3 trillion of cuts.",TRUE,none,military
"If you're a small business and don't ""adopt the health care plan that Senator Obama mandates, he's going to fine you.""",FALSE,democrat,"energy,environment,oil-spill"
Weve lost 26 million jobs since (Obamas) been president.,FALSE,organization,"economy,gambling,jobs,message-machine-2012,state-budget,state-finances,workers"
"Whether in Illinois or Washington, Barack Obama has bridged partisanship to bring about significant reform.",TRUE,republican,elections
"I have cut taxes 63 times, including a 2006 property tax reduction that ranks as the largest in state history.",FALSE,republican,candidates-biography
New Jersey has the largest transit system in the entire country.,TRUE,democrat,"message-machine-2012,taxes"
"New jobs numbers are in, and Wisconsin has fallen to dead last in Midwest job growth.",FALSE,republican,economy
Under the Baucus bill ... federal funds would subsidize coverage of elective abortions.,FALSE,democrat,"energy,infrastructure,public-health,public-safety"
"Four balanced budgets in a row, with no new taxes for anyone. The best job growth in 12 years. Nearly 130,000 new private-sector jobs. Merit pay to reward New Jerseys best teachers, and the most education funding ever.",TRUE,republican,education
Cap-and-trade is wildly unpopular with Americans.,FALSE,none,patriotism
By registration fewer than 20 percent of Florida voters are Independents.,TRUE,none,"city-government,transparency"
Teachers were not involved in developing the Common Core State Standards.,FALSE,republican,immigration
"As a senator, Hillary Clinton paid women less than the men in her office.",FALSE,democrat,"bankruptcy,candidates-biography,history,income,campaign-advertising,taxes,wealth"
Mark Warners record is one of acting against the Keystone XL pipeline.,FALSE,democrat,"debt,deficit,federal-budget"
This (parent trigger) legislation was drafted by President Obamas top advisers. It was drafted by President Clintons top advisers.,FALSE,republican,health-care
Says Ron Johnson voted to turn Medicare into a voucher program.,TRUE,republican,"economy,history,jobs"
Says Bernie Sanders advocated putting Iranian troops into Syria to try and resolve the conflict there. Putting them right on the doorstep of Israel.,TRUE,democrat,candidates-biography
Barack Obama's church gave a lifetime achievement award to Louis Farrakhan.,TRUE,republican,"candidates-biography,education,small-business,taxes"
Toothpaste contains the poison substance of fluoride.,FALSE,democrat,transportation
"Today, we import triple the amount of oil than we had on the day Senator McCain took office.",TRUE,democrat,jobs
"Shutdowns are a normal part of the constitutional process, with 12 shutdowns under Democratic House Speaker Tip ONeill and two during his own speakership.",TRUE,none,"abortion,health-care"
"Since 2007, Texas has gained 440,000 people while Maryland has lost 20,000.",TRUE,republican,"job-accomplishments,jobs,state-budget,state-finances,taxes"
Said state insurance commissioner candidate Ralph Hudgens fights hard to strip women of life-saving coverage such as mammograms.,TRUE,none,"cap-and-trade,climate-change,energy,environment"
"My two appointments to the Florida Supreme Court, Raul Cantero and Kenneth Bell, have earned reputations as its most consistent conservatives.",TRUE,republican,elections
Says legislation supported by gay rights activists would strip mother and father from future Texas birth certificates.,FALSE,none,education
Says Gerald Daugherty advocated lowering the penalty for crimes like strangulation in domestic violence cases because they just throw more people into the jail system.,FALSE,republican,women
"Mercury is used in vaccines, and there is no safe level of mercury.",FALSE,republican,"climate-change,energy,voting-record"
Says four-year terms for City Council members are the norm in most cities of our size.,TRUE,republican,education
"Tommy Thompson is the father of welfare reform, creating the groundbreaking Wisconsin Works program in Wisconsin that became the model for national and international reforms.",TRUE,democrat,"federal-budget,medicare,public-health"
We now sell more products made in America to the rest of the world than ever before.,TRUE,democrat,foreign-policy
Theres no wildlife in the Arctic National Wildlife Refuge.,FALSE,none,religion
"Right now, in every major poll, national poll and statewide poll done in the last month, six weeks, we are defeating Trump, often by big numbersand always at a larger margin than Secretary Clinton is.",TRUE,none,"public-health,science"
I have fought for our shared values without being an ideologue or a partisan,FALSE,democrat,energy
The costs of cancer and all affiliated issues are over $20 billion a year to this state.,TRUE,republican,"federal-budget,history,pundits"
On a cap-and-trade plan.,FALSE,republican,"population,pundits,states"
The left is blatantly attempting to disrupt Georgias elections.,FALSE,democrat,"health-care,women"
"Says Obamas net neutrality proposalputs the government in charge of determining Internet pricing, terms of service and what types of products and services can be delivered.",TRUE,republican,legal-issues
President Barack Obama reduced the cost of prescription drugs for nearly 3.6 million Americans in 2011.,TRUE,none,"children,gays-and-lesbians,legal-issues"
Tampa Bay isleading the state in jobs creation.,FALSE,democrat,"crime,criminal-justice"
"Earmarked dollars have doubled just since 2000, and more than tripled in the last 10 years.",TRUE,none,public-health
Says Ted Cruz is a supporter of legalizing people that are in this country illegally and proposed giving them work permits.,FALSE,democrat,city-government
"Our economy (in Louisiana) has grown 50 percent faster than the national GDP, even since the national recession.",TRUE,republican,job-accomplishments
On whether he wrote a provision that allowed AIG to dole out bonuses.,FALSE,democrat,"corrections-and-updates,trade"
[The] ACLU and atheists in Denver are demanding the NFL stop [Tim Tebow] from praying on the sidelines.,FALSE,republican,"energy,environment"
"Lois Frankel spent over $13,000 in taxpayer money on a marble shower in a private bathroom with her own toilet.",TRUE,independent,"elections,polls"
"Wisconsin uses voting machines that are outlawed, they are illegal.",FALSE,none,candidates-biography
Half of Oregon university students are on Pell Grants.,TRUE,republican,health-care
"Says uncompensated health care costs absorbed by Texas hospitals are adding $1,800 a year to Texas private insurance rates.",FALSE,republican,"cap-and-trade,climate-change,jobs"
Invested $90 million in traffic fixes without raising taxes.,TRUE,republican,elections
"Countries bombed: Obama 7, Bush 4",TRUE,republican,"government-regulation,technology"
U.S. Rep. Debbie Wasserman Schultz has blamed the Republicans for the creation of Hamas.,FALSE,democrat,"health-care,medicare,message-machine-2012"
"A report in Navy Times said that 7.3 percent of Army, Navy and Marines have thought about attempting suicide.",FALSE,none,"economy,florida,jobs"
We cut property taxes by one-third in the state of Texas while Ive been governor.,FALSE,republican,federal-budget
Says Texas passed a state Dream Act before any other state.,TRUE,republican,immigration
"Hillsboroughs Public Transportation Commission has a rule that says cabbies have to wear socks. I mean, please. Come on.",TRUE,republican,economy
"Increasing the min. wage to $15 an hour would reduce spending on food stamps, public housing and other programs by over $7.6 billion a year.",FALSE,democrat,economy
Says 80 journalists have been killed in Mexico in the last decade.,TRUE,talk-show-host,"civil-rights,human-rights,legal-issues,pundits,religion,sports"
U.S. Rep. Allen West wants to bring back earmarks.,FALSE,republican,"candidates-biography,city-budget,city-government,message-machine-2012"
"Almost 1,000 people a day are moving to Florida because they are more free here than they are in some other states.",FALSE,green,"elections,legal-issues,technology"
Texas ranks 49th in per-pupil funding among the states.,TRUE,none,"education,poverty"
The Washington Times ... pointed out that we had succeeded where previous administrations had failed on spending cuts.,TRUE,democrat,"health-care,public-health,state-budget,state-finances"
"In Flint, Mich., the pipes still havent been replaced. The water is still poisoned.",TRUE,democrat,"city-budget,city-government,transportation"
"Here in Virginia, we have the opportunity to become the first state on the East Coast to explore for and produce oil and natural gas offshore.",TRUE,none,"foreign-policy,military"
Donald Trumps decision to skip the Fox News/Google debate in Des Moines is near unprecedented.,TRUE,republican,israel
The McCain campaign is roughly in the position where Vice President Gore was running against President Bush one week before the election of 2000.,FALSE,democrat,"afghanistan,military"
We've won twice as many states. We've won a greater share of the popular vote.,TRUE,republican,"new-hampshire-2012,taxes"
"Health care reform: Everything about it is going to raise costs, raise taxes and lower the quality of health care.",FALSE,republican,immigration
The city of San Antonio reuses almost 40 percent of its water. You know how much the city of Austin reuses? About 5 percent. And thats not right. We can do better.,FALSE,republican,government-efficiency
"Since 1965, the United States has spent untold trillions yet the poverty rate hasnt budged.",FALSE,independent,"economy,jobs"
It costs a hell of a lot more money to put somebody in jail than send them to the University of Virginia.,TRUE,journalist,public-safety
New Jersey is the only state in the union that spent less on higher education than it did at the beginning of the decade.,FALSE,democrat,"candidates-biography,federal-budget,trade"
Says he and Mitt Romney always said that we agree with the 2014 deadline for leaving Afghanistan.,TRUE,republican,"economy,population"
Says he said last year theres absolutely no reason for Texas to secede.,TRUE,none,"education,state-budget,state-finances,states"
"Says U.S. Rep. Ann McLane Kuster used $293,000 of taxpayer money to send campaign mail.",FALSE,democrat,federal-budget
"Boccieri voted to spend a billion dollars an hour, every hour, for his first 50 days in office",FALSE,none,"infrastructure,public-health,urban,water"
"While Mandels been busy traveling the country raising campaign money, he hasnt shown up for work.",TRUE,republican,"energy,states"
Says Bernie Sanders wants higher standards for toy guns than real guns.,TRUE,none,debates
A million people a year come into the U.S. legally. No other country even comes close to that figure.,TRUE,republican,elections
The majority of people in polls do not support Obamacare.,TRUE,democrat,elections
"The Obama administration was actively supporting Al Qaeda in Iraq, the terrorist group that became the Islamic State.",FALSE,republican,health-care
Said Planned Parenthoods early objective was to help kill black babies before they came into the world.,FALSE,democrat,"city-budget,city-government,water"
"Due to the war in Iraq, 4,400 Americans are dead, 30,000 severely wounded and more than 100,000 are suffering from serious health problems related to post traumatic stress syndrome.",TRUE,none,"federal-budget,history,poverty,pundits"
"When the Republicans were in charge, they actually expanded government health care with the prescription drug program.",TRUE,independent,"criminal-justice,education"
"Says administrator salaries were increased, but other school employees were left behind.",TRUE,republican,"education,state-finances"
"In 1790, the first Congress, which was packed with framers, required all ship owners to provide medical insurance for seamen; in 1798, Congress also required seamen to buy hospital insurance for themselves. In 1792, Congress enacted a law mandating that all able-bodied citizens obtain a firearm.",TRUE,republican,"afghanistan,foreign-policy"
Ken Mercer wants Sean Hannity and James Dobson included in social studies texts.,FALSE,republican,"history,states"
On the Trans-Pacific Partnership.,FALSE,republican,"campaign-finance,ethics"
Says Charlie Crist could have expanded Medicaid after the health care law passed but didnt.,FALSE,republican,"federal-budget,government-efficiency"
